"FULL_KATO_NAME";"KATO_2_NAME";"KATO_2";"KATO_4_NAME";"KATO_4";"FAMILY_CAT_NEW";"filtr1";"filtr2";"filtr3";"filtr4";"filtr5";"filtr6";"filtr7";"filtr8";"filtr9";"filtr10";"ID_SK_FAMILY_QUALITY22";"filtr11";"filtr12";"filtr13";"filtr14";"filtr15";"filtr16";"filtr17";"filtr18";"filtr19";"filtr20";"filtr21";"filtr22";"filtr23";"filtr24";"filtr25";"filtr26";"filtr27";"filtr65";"filtr28";"filtr29";"filtr30";"filtr31";"filtr32";"filtr33";"filtr34";"count_iin";"KATO_42";"Rating"
Зачаганская п.а.;Западно-Казахстанская область;"27";Уральск Г.А.;"2710";С - Неблагополучный уровень семьи (необходим мониторинг) ;от 3 до 4 прожиточных минимумов (СДД);Семьи без работающих членов семьи;В семье только одно жилье, менее 18 кв. метров на 1 члена семьи;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть земельный участок под ИЖС;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"2147192";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье есть члены с хроническими заболеваниями;В семье есть члены состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья без кредитов;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Города областного значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых нет плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;1;"2710";"8"
г.Талдыкорган;область Жетісу;"33";Талдыкорган Г.А.;"3310";В - удовлетворительный уровень семьи (ниже среднего);от 4 и более прожиточных минимумов (СДД);В семье двое и более членов семьи работают;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть сельхозземельные участки (более 1 Га);В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21471920";В семье есть от 4 - х и более несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье есть дети до 18 лет не прикрепленные к школе, садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи есть среднее образование;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Один член семьи имеет просроченную задолженность по кредитам;В семье есть дети от 2 до 6 лет включительно не прикрепленые к садику;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семье есть среднее образование;Административные центры областей;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Есть обращение;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;6;"3310";"6"
Коксаекский с.о.;Туркестанская область;"61";Толебийский район;"6158";С - Неблагополучный уровень семьи (необходим мониторинг) ;от 2 до 3 прожиточных минимумов (СДД);Семьи без работающих членов семьи;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть земельный участок под ИЖС;В семье нет коммерческой недвижимости;В семье есть личное подсобное хозяйство с доходом от 500 до 1 000 тыс. тенге;В семье есть ИП;"21471921";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Административные центры сельских районов;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых нет плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;1;"6158";"9"
Керделинский с.о.;Кызылординская область;"43";Шиелийский район;"4352";D - Кризисный уровень семьи (требуется помощь);Доход до 70% ПМ (СДД);В семье только 1 член семьи работает;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21471925";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье есть члены с хроническими заболеваниями;В семье есть члены состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья без кредитов;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Прочие городские поселения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;1;"4352";"11"
Зайсанская г.а.;Восточно-Казахстанская область;"63";Зайсанский район;"6346";С - Неблагополучный уровень семьи (необходим мониторинг) ;от 2 до 3 прожиточных минимумов (СДД);В семье только 1 член семьи работает;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье 1 (один) автотранспорт;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье есть коммерческая недвижимость;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21471927";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье есть члены с хроническими заболеваниями;В семье есть члены состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Прочие городские поселения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье есть социально значимые заболевания;Нет обращения;В семье нет детей от 8 до 14 лет включительно;2;"6346";"6"
Щучинская г.а.;Акмолинская область;"11";Бурабайский район;"1170";С - Неблагополучный уровень семьи (необходим мониторинг) ;от 2 до 3 прожиточных минимумов (СДД);В семье двое и более членов семьи работают;В семье есть 2 единицы жилья;В семье 1 (один) автотранспорт;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть земельный участок под ИЖС;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21471928";В семье есть один несовершеннолетний ребенок или учащейся молодеж до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье есть лица с инвалидностью (3 группы);В семье есть члены с хроническими заболеваниями;В семье есть члены состоящие на Д-учете;В семье есть дети до 18 лет прикрепленные к школе садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Прочие городские поселения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье есть социально значимые заболевания;Есть обращение;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;3;"1170";"7"
Карасуский с.о.;Алматинская область;"19";Жамбылский район;"1942";А - благополучный уровень семьи (средний и выше);от 4 и более прожиточных минимумов (СДД);В семье двое и более членов семьи работают;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье 3 (три) и более автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье есть личное подсобное хозяйство с доходом от 1 000 до 2 000 тыс. тенге;В семье есть ИП;"21471930";В семье есть от 4 - х и более несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье есть члены состоящие на Д-учете;В семье есть дети до 18 лет не прикрепленные к школе, садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи есть высшее образование;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье есть дети от 2 до 6 лет включительно прикрепленые к садику;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семье есть высшее образование;Прочие городские поселения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;7;"1942";"3"
Алмалинский район;г.Алматы;"75";г.Алматы;"7511";С - Неблагополучный уровень семьи (необходим мониторинг) ;от 4 и более прожиточных минимумов (СДД);В семье только 1 член семьи работает;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21471938";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье есть лица с инвалидностью (3 группы);В семье есть члены с хроническими заболеваниями;В семье есть члены состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи есть среднее образование;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи есть высшее образование;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семье есть высшее образование;Города республиканского значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Есть обращение;В семье нет детей от 8 до 14 лет включительно;2;"7511";"5"
Жалгызтобинский с.о.;Жамбылская область;"31";Байзакский район;"3136";С - Неблагополучный уровень семьи (необходим мониторинг) ;от 1 до 2 прожиточных минимумов (СДД);В семье только 1 член семьи работает;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть земельный участок под ИЖС и сельхозземельные участки (более 1 Га);В семье есть коммерческая недвижимость;В семье есть личное подсобное хозяйство с доходом от 500 до 1 000 тыс. тенге;В семье нет учредителей ТОО и ИП;"21471939";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье есть члены состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Один член семьи имеет просроченную задолженность по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Прочие городские поселения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье есть социально значимые заболевания;Нет обращения;В семье нет детей от 8 до 14 лет включительно;2;"3136";"6"
Жамбылский с.о.;Жамбылская область;"31";Меркенский район;"3154";D - Кризисный уровень семьи (требуется помощь);Семья без доходов (СДД);Семьи без работающих членов семьи;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть земельный участок под ИЖС;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21471940";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье есть члены состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых нет участников ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Прочие городские поселения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых нет плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;1;"3154";"0"
